pattern,pred_ppf,sigma_ppf,entropy_ppf,cycle,priority,mode
"[7, 9, 1, 1, 3, 3, 4, 1, 2, 4, 9, 4, 9, 1, 2, 3, 4, 6, 7, 6, 6, 6, 4, 8, 6, 1, 7, 7, 4, 7, 1]",1.994094967842102,0.10244204103946686,-0.859519362449646,311.81671142578125,-134.40301035053028,mc
"[1, 3, 1, 8, 6, 8, 6, 5, 7, 8, 9, 7, 9, 1, 5, 3, 4, 1, 2, 6, 6, 2, 8, 7, 6, 1, 7, 7, 4, 1, 1]",1.954698085784912,0.10099034756422043,-0.8737919330596924,303.6410217285156,-135.73397422746555,mc
"[2, 8, 1, 1, 1, 4, 3, 1, 7, 8, 9, 4, 7, 6, 2, 3, 4, 6, 9, 6, 3, 8, 4, 6, 6, 1, 7, 7, 5, 1, 3]",2.01250958442688,0.10462848842144012,-0.8384007215499878,325.9242248535156,-135.7782202003301,mc
"[1, 4, 1, 6, 3, 1, 8, 1, 6, 4, 1, 3, 9, 6, 2, 9, 9, 4, 7, 3, 6, 8, 1, 7, 7, 1, 7, 8, 6, 5, 5]",2.0225820541381836,0.09992296248674393,-0.8844173550605774,314.6413879394531,-137.58362285526613,mc
"[1, 3, 2, 4, 8, 3, 8, 1, 1, 6, 4, 1, 1, 6, 5, 9, 1, 8, 7, 2, 2, 8, 1, 6, 9, 6, 7, 3, 6, 6, 8]",2.062242269515991,0.09254686534404755,-0.9611014723777771,300.88299560546875,-140.22549830298274,mc
"[1, 7, 9, 7, 5, 6, 6, 1, 9, 8, 8, 4, 9, 1, 7, 3, 1, 4, 3, 6, 5, 2, 7, 7, 5, 5, 8, 9, 7, 5, 2]",2.0007364749908447,0.09860024601221085,-0.8977428674697876,314.806640625,-141.25562188238197,mc
"[7, 4, 1, 1, 9, 3, 4, 3, 7, 9, 9, 4, 9, 6, 9, 3, 4, 6, 3, 6, 6, 5, 4, 1, 6, 5, 9, 1, 9, 4, 6]",2.023581027984619,0.09043534100055695,-0.9841816425323486,291.10382080078125,-141.58014478340334,mc
"[4, 1, 8, 4, 1, 3, 9, 8, 8, 4, 5, 4, 4, 8, 8, 4, 3, 9, 3, 7, 8, 4, 9, 8, 8, 7, 1, 2, 1, 3, 6]",1.9967029094696045,0.09881654381752014,-0.8955519199371338,318.6506042480469,-142.91961821183097,mc
"[9, 4, 1, 1, 2, 8, 6, 5, 7, 8, 9, 4, 9, 1, 7, 9, 4, 6, 8, 6, 6, 8, 8, 9, 6, 1, 7, 2, 4, 1, 1]",1.9221429824829102,0.0989055335521698,-0.8946516513824463,307.9247741699219,-143.3219416564372,mc
"[1, 7, 7, 3, 4, 4, 5, 5, 1, 7, 3, 2, 7, 9, 7, 6, 7, 3, 8, 5, 4, 4, 3, 9, 5, 6, 6, 1, 5, 1, 3]",2.019334077835083,0.09951149672269821,-0.8885434865951538,326.2325439453125,-143.5481437527171,mc
"[1, 7, 1, 4, 1, 8, 5, 1, 7, 8, 4, 7, 1, 2, 5, 3, 3, 6, 7, 6, 5, 8, 8, 6, 6, 1, 7, 9, 4, 1, 1]",2.025974988937378,0.09930005669593811,-0.890670657157898,328.5614929199219,-144.44400250234762,mc
"[9, 9, 7, 6, 3, 7, 5, 9, 9, 2, 4, 4, 4, 6, 7, 8, 1, 3, 7, 6, 6, 8, 8, 7, 9, 7, 7, 8, 5, 5, 2]",1.9986345767974854,0.09143637865781784,-0.9731733798980713,297.3819580078125,-144.80088744287048,mc
"[1, 9, 4, 1, 4, 4, 8, 1, 7, 7, 4, 8, 9, 2, 7, 4, 1, 9, 7, 6, 6, 8, 8, 8, 9, 2, 7, 8, 3, 9, 2]",2.0424723625183105,0.099400594830513,-0.8896583914756775,332.79229736328125,-144.9573176330998,mc
"[1, 4, 1, 8, 7, 7, 1, 3, 7, 2, 4, 8, 9, 8, 5, 8, 1, 6, 7, 6, 7, 4, 8, 7, 7, 7, 6, 8, 6, 9, 1]",1.9309577941894531,0.10232318192720413,-0.8606805801391602,326.71075439453125,-145.62382298169277,mc
"[3, 8, 1, 3, 4, 9, 6, 1, 1, 4, 4, 7, 9, 1, 5, 3, 4, 6, 4, 6, 6, 8, 8, 8, 6, 5, 7, 1, 4, 1, 2]",2.0153985023498535,0.09266980737447739,-0.9597742557525635,307.11749267578125,-146.25559975469483,mc
"[1, 4, 1, 8, 1, 9, 2, 1, 1, 9, 4, 4, 1, 6, 6, 3, 7, 6, 7, 6, 6, 7, 8, 9, 1, 7, 7, 8, 3, 5, 5]",2.03320574760437,0.09628452360630035,-0.9215093851089478,322.7491149902344,-146.27943707620454,mc
