pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_primary,cycle,priority,entropy_mode
"[9, 1, 4, 9, 4, 8, 1, 5, 1, 7, 3, 1, 6, 6, 1, 1, 4, 6, 8, 2, 6, 1, 1, 1, 6, 6, 1, 5, 7, 1, 1]",1.9282288551330566,0.08731666952371597,-1.019275188446045,2.231414794921875,0.0,2.231414794921875,327.1035461425781,378.53562446972506,combined
"[9, 1, 9, 8, 1, 3, 1, 6, 1, 7, 1, 1, 8, 5, 1, 1, 7, 4, 5, 7, 3, 1, 1, 1, 3, 7, 1, 7, 1, 1, 1]",1.887582778930664,0.06837586313486099,-1.2637972831726074,2.222395420074463,0.0,2.222395420074463,321.3067626953125,378.2987996736989,combined
"[8, 1, 1, 3, 4, 9, 1, 6, 1, 1, 9, 1, 9, 5, 1, 1, 6, 9, 1, 2, 8, 1, 1, 1, 5, 1, 1, 6, 4, 1, 1]",1.8928998708724976,0.06209335848689079,-1.360177993774414,2.220088005065918,0.0,2.220088005065918,322.4537048339844,378.1896946146077,combined
"[3, 1, 6, 9, 2, 4, 1, 7, 1, 9, 9, 1, 5, 4, 6, 1, 8, 7, 8, 9, 1, 1, 1, 1, 6, 4, 1, 5, 1, 1, 1]",1.9002103805541992,0.061318784952163696,-1.3727301359176636,2.147047519683838,0.0,2.147047519683838,334.6812744140625,378.15613961103895,combined
"[8, 1, 6, 4, 5, 7, 1, 3, 1, 7, 9, 1, 8, 7, 8, 1, 8, 4, 5, 6, 5, 1, 1, 1, 2, 8, 1, 7, 1, 1, 1]",1.8780637979507446,0.06375572830438614,-1.3337581157684326,2.1738781929016113,0.0,2.1738781929016113,326.68310546875,378.13885854353686,combined
"[3, 1, 4, 1, 9, 3, 1, 3, 1, 7, 7, 1, 9, 5, 4, 1, 7, 8, 6, 4, 7, 1, 1, 1, 2, 6, 1, 6, 8, 1, 1]",1.8745009899139404,0.04762687906622887,-1.6254193782806396,2.124394178390503,0.0,2.124394178390503,333.6402282714844,378.1182214959188,combined
"[3, 1, 9, 8, 1, 9, 1, 3, 1, 9, 7, 1, 8, 6, 2, 1, 4, 7, 8, 1, 4, 1, 1, 1, 7, 2, 1, 1, 8, 1, 1]",1.9239840507507324,0.056596484035253525,-1.4528697729110718,2.211665630340576,0.0,2.211665630340576,328.58514404296875,377.71627666066206,combined
"[8, 1, 2, 9, 8, 9, 1, 9, 1, 3, 7, 1, 7, 5, 5, 1, 4, 1, 7, 5, 6, 1, 1, 1, 6, 4, 1, 2, 2, 1, 1]",1.8351306915283203,0.07574323564767838,-1.1614677906036377,2.1654558181762695,0.0,2.1654558181762695,320.0480041503906,377.6567185246449,combined
"[7, 1, 9, 3, 8, 8, 1, 1, 1, 8, 3, 1, 6, 8, 3, 1, 3, 8, 9, 5, 7, 1, 1, 1, 2, 3, 1, 4, 2, 1, 1]",1.891472339630127,0.061135388910770416,-1.3757258653640747,2.1631484031677246,0.0,2.1631484031677246,330.1998596191406,377.62694514162433,combined
"[8, 1, 4, 6, 7, 3, 1, 3, 1, 8, 9, 1, 6, 2, 9, 1, 4, 7, 8, 9, 9, 1, 1, 1, 2, 6, 1, 8, 2, 1, 1]",1.9242926836013794,0.06050287187099457,-1.3861256837844849,2.222992420196533,0.0,2.222992420196533,326.6562194824219,377.3614735150287,combined
"[6, 1, 4, 8, 8, 9, 1, 3, 1, 8, 8, 1, 4, 5, 2, 1, 7, 4, 8, 6, 5, 1, 1, 1, 7, 7, 1, 6, 8, 1, 1]",1.891129970550537,0.07786091417074203,-1.1338927745819092,2.1667964458465576,0.0,2.1667964458465576,328.834228515625,376.7675791449423,combined
