seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,110,1.8016407489776611,0.07108209282159805,1.6931753964554759,1.0,9,50
42,111,1.8016407489776611,0.07108209282159805,1.6576582225222896,1.0,10,50
42,112,1.8016407489776611,0.07108209282159805,1.6617301926717591,1.0,11,50
42,113,1.7991862297058105,0.07795683294534683,1.6521233387155405,1.0,0,50
42,114,1.7991862297058105,0.07795683294534683,1.637004002009321,1.0,1,50
42,115,1.7991862297058105,0.07795683294534683,1.628599669107493,1.0,2,50
42,116,1.7991862297058105,0.07795683294534683,1.624926324338293,1.0,3,50
42,117,1.7991862297058105,0.07795683294534683,1.6535365616150548,1.0,4,50
42,118,1.7991862297058105,0.07795683294534683,1.6519409371352307,1.0,5,50
42,119,1.7991862297058105,0.07795683294534683,1.6661233611446538,1.0,6,50
42,120,1.7991862297058105,0.07795683294534683,1.655585884698464,1.0,7,50
42,121,1.7991862297058105,0.07795683294534683,1.6674859860217877,1.0,8,50
42,122,1.7991862297058105,0.07795683294534683,1.6773096879870755,1.0,9,50
42,123,1.7991862297058105,0.07795683294534683,1.6751509524743395,1.0,10,50
42,124,1.7991862297058105,0.07795683294534683,1.6888317250073064,1.0,11,50
42,125,1.7991862297058105,0.07795683294534683,1.662793079213186,1.0,12,50
42,126,1.7991862297058105,0.07795683294534683,1.6439954511651933,1.0,13,50
42,127,1.7991862297058105,0.07795683294534683,1.6552020266370182,1.0,14,50
42,128,1.7991862297058105,0.07795683294534683,1.6596183509000646,1.0,15,50
42,129,1.7991862297058105,0.07795683294534683,1.6893258323924378,1.0,16,50
42,130,1.7991862297058105,0.07795683294534683,1.694384136421467,1.0,17,50
42,131,1.7991862297058105,0.07795683294534683,1.6666896399910296,1.0,18,50
42,132,1.7991862297058105,0.07795683294534683,1.664332045543548,1.0,19,50
42,133,1.7991862297058105,0.07795683294534683,1.6818220178372891,1.0,0,50
42,134,1.7991862297058105,0.07795683294534683,1.6794985507961917,1.0,1,50
42,135,1.7991862297058105,0.07795683294534683,1.6633562328056546,1.0,2,50
42,136,1.7991862297058105,0.07795683294534683,1.662221118242934,1.0,3,50
42,137,1.7991862297058105,0.07795683294534683,1.6616329645817522,1.0,4,50
42,138,1.7991862297058105,0.07795683294534683,1.6510973539327278,1.0,5,50
42,139,1.7991862297058105,0.07795683294534683,1.669049113940435,1.0,6,50
42,140,1.7991862297058105,0.07795683294534683,1.6811242235789092,1.0,7,50
42,141,1.7991862297058105,0.07795683294534683,1.6622763603027422,1.0,8,50
42,142,1.7991862297058105,0.07795683294534683,1.6808104183385948,1.0,9,50
42,143,1.7991862297058105,0.07795683294534683,1.6757171088025926,1.0,10,50
42,144,1.7991862297058105,0.07795683294534683,1.6365602477425005,1.0,11,50
42,145,1.7991862297058105,0.07795683294534683,1.6530117338879806,1.0,12,50
42,146,1.7991862297058105,0.07795683294534683,1.6552413790525213,1.0,13,50
42,147,1.7991862297058105,0.07795683294534683,1.642146914607736,1.0,14,50
42,148,1.7991862297058105,0.07795683294534683,1.655067860255639,1.0,15,50
42,149,1.7991862297058105,0.07795683294534683,1.6482959309461747,1.0,16,50
42,150,1.7991862297058105,0.07795683294534683,1.6189664102486687,1.0,17,50
42,151,1.7991862297058105,0.07795683294534683,1.6284606804320607,1.0,18,50
42,152,1.7991862297058105,0.07795683294534683,1.637502625425902,1.0,19,50
42,153,1.7991862297058105,0.07795683294534683,1.6750942768686452,1.0,0,50
42,154,1.7991862297058105,0.07795683294534683,1.6797459455796981,1.0,1,50
42,155,1.7991862297058105,0.07795683294534683,1.6610465131294656,1.0,2,50
42,156,1.7991862297058105,0.07795683294534683,1.660720500197757,1.0,3,50
42,157,1.7889388799667358,0.06055358797311783,1.666775263516039,1.0,0,50
42,158,1.7889388799667358,0.06055358797311783,1.6556383483905188,1.0,1,50
42,159,1.7889388799667358,0.06055358797311783,1.613815180624887,1.0,2,50
42,160,1.7889388799667358,0.06055358797311783,1.6260417414684019,1.0,3,50
42,161,1.7889388799667358,0.06055358797311783,1.6242266355955246,1.0,4,50
42,162,1.7889388799667358,0.06055358797311783,1.634687042059036,1.0,5,50
42,163,1.7889388799667358,0.06055358797311783,1.6354603027488663,1.0,6,50
42,164,1.7889388799667358,0.06055358797311783,1.6550105628154839,1.0,7,50
42,165,1.7889388799667358,0.06055358797311783,1.657075462482711,1.0,8,50
42,166,1.7889388799667358,0.06055358797311783,1.6785956058529585,1.0,9,50
42,167,1.7889388799667358,0.06055358797311783,1.6984347121923542,1.0,10,50
42,168,1.7889388799667358,0.06055358797311783,1.6841695335107811,1.0,11,50
42,169,1.7889388799667358,0.06055358797311783,1.694009615420702,1.0,12,50
42,170,1.7889388799667358,0.06055358797311783,1.6476176754865746,1.0,13,50
42,171,1.7889388799667358,0.06055358797311783,1.6740495444123873,1.0,14,50
42,172,1.7889388799667358,0.06055358797311783,1.668162204393888,1.0,15,50
42,173,1.7889388799667358,0.06055358797311783,1.6634318510169375,1.0,16,50
42,174,1.7889388799667358,0.06055358797311783,1.665517463011924,1.0,17,50
42,175,1.7889388799667358,0.06055358797311783,1.6505579551078253,1.0,18,50
42,176,1.7889388799667358,0.06055358797311783,1.6611018871682781,1.0,19,50
42,177,1.7889388799667358,0.06055358797311783,1.6502945244042961,1.0,0,50
42,178,1.7889388799667358,0.06055358797311783,1.656115523994476,1.0,1,50
42,179,1.7889388799667358,0.06055358797311783,1.6431755941220798,1.0,2,50
42,180,1.7889388799667358,0.06055358797311783,1.6130679757902695,1.0,3,50
42,181,1.7889388799667358,0.06055358797311783,1.617423496146727,1.0,4,50
42,182,1.7889388799667358,0.06055358797311783,1.627603776401905,1.0,5,50
42,183,1.7889388799667358,0.06055358797311783,1.6463126533485954,1.0,6,50
42,184,1.7889388799667358,0.06055358797311783,1.6233640465776804,1.0,7,50
42,185,1.7889388799667358,0.06055358797311783,1.6094961529766276,1.0,8,50
42,186,1.7889388799667358,0.06055358797311783,1.6051623738007887,1.0,9,50
42,187,1.7889388799667358,0.06055358797311783,1.5982186908224383,1.0,10,50
42,188,1.7889388799667358,0.06055358797311783,1.58828014014123,1.0,11,50
42,189,1.7889388799667358,0.06055358797311783,1.5788652487170447,1.0,12,50
42,190,1.7889388799667358,0.06055358797311783,1.5923957632460592,1.0,13,50
42,191,1.7889388799667358,0.06055358797311783,1.6070072670521491,1.0,14,50
42,192,1.7889388799667358,0.06055358797311783,1.6085315420680675,1.0,15,50
