arm,seed,gen,best_ppf,sigma,h_hist_pop,div,stag,n_al
A_baseline,42,191,1.7823076248168945,0.06448734551668167,1.584601318364146,1.0,8,50
A_baseline,42,192,1.7823076248168945,0.06448734551668167,1.574570094863536,1.0,9,50
A_baseline,42,193,1.7823076248168945,0.06448734551668167,1.5828174593815723,1.0,10,50
A_baseline,42,194,1.7823076248168945,0.06448734551668167,1.5717749614000294,1.0,11,50
A_baseline,42,195,1.7823076248168945,0.06448734551668167,1.5708923440411269,1.0,12,50
A_baseline,42,196,1.7823076248168945,0.06448734551668167,1.574987650670859,1.0,13,50
A_baseline,42,197,1.7823076248168945,0.06448734551668167,1.5788718380787712,1.0,14,50
A_baseline,42,198,1.7823076248168945,0.06448734551668167,1.5542964921840032,1.0,15,50
A_baseline,42,199,1.7823076248168945,0.06448734551668167,1.5692989757218732,1.0,16,50
A_baseline,42,200,1.7823076248168945,0.06448734551668167,1.5550889536330141,1.0,17,50
A_baseline,42,201,1.7823076248168945,0.06448734551668167,1.5587568020807383,1.0,18,50
A_baseline,42,202,1.7823076248168945,0.06448734551668167,1.563289803095104,1.0,19,50
A_baseline,42,203,1.7823076248168945,0.06448734551668167,1.5866230182571317,1.0,0,50
A_baseline,42,204,1.7823076248168945,0.06448734551668167,1.577259909411174,1.0,1,50
A_baseline,42,205,1.7823076248168945,0.06448734551668167,1.6024941372772228,1.0,2,50
A_baseline,42,206,1.7823076248168945,0.06448734551668167,1.607242487436208,1.0,3,50
A_baseline,42,207,1.7823076248168945,0.06448734551668167,1.6018651132592705,1.0,4,50
A_baseline,42,208,1.7823076248168945,0.06448734551668167,1.58931005977045,1.0,5,50
A_baseline,42,209,1.7823076248168945,0.06448734551668167,1.5593616232267355,1.0,6,50
A_baseline,42,210,1.7823076248168945,0.06448734551668167,1.5602067094574932,1.0,7,50
A_baseline,42,211,1.7823076248168945,0.06448734551668167,1.5420022263420974,1.0,8,50
A_baseline,42,212,1.7823076248168945,0.06448734551668167,1.5263686119793605,1.0,9,50
A_baseline,42,213,1.7823076248168945,0.06448734551668167,1.5194038393075873,1.0,10,50
A_baseline,42,214,1.7823076248168945,0.06448734551668167,1.5136105147047676,1.0,11,50
A_baseline,42,215,1.7823076248168945,0.06448734551668167,1.5339964904063619,1.0,12,50
A_baseline,42,216,1.7823076248168945,0.06448734551668167,1.5614513814785416,1.0,13,50
A_baseline,42,217,1.7823076248168945,0.06448734551668167,1.5695003870156505,1.0,14,50
A_baseline,42,218,1.7823076248168945,0.06448734551668167,1.544064262209512,1.0,15,50
A_baseline,42,219,1.7823076248168945,0.06448734551668167,1.5143349604305576,1.0,16,50
A_baseline,42,220,1.7823076248168945,0.06448734551668167,1.5233975476760022,1.0,17,50
A_baseline,42,221,1.7823076248168945,0.06448734551668167,1.5377670540551804,1.0,18,50
A_baseline,42,222,1.7823076248168945,0.06448734551668167,1.5538932320095824,1.0,19,50
A_baseline,42,223,1.7823076248168945,0.06448734551668167,1.5475630369492235,1.0,0,50
A_baseline,42,224,1.7823076248168945,0.06448734551668167,1.5398028059539595,1.0,1,50
A_baseline,42,225,1.7823076248168945,0.06448734551668167,1.5522871163821974,1.0,2,50
A_baseline,42,226,1.7823076248168945,0.06448734551668167,1.5463950464367007,1.0,3,50
A_baseline,42,227,1.7823076248168945,0.06448734551668167,1.5748213076549107,1.0,4,50
A_baseline,42,228,1.7823076248168945,0.06448734551668167,1.5475626071684188,1.0,5,50
A_baseline,42,229,1.7823076248168945,0.06448734551668167,1.5150839275216041,1.0,6,50
A_baseline,42,230,1.7823076248168945,0.06448734551668167,1.519337358904994,1.0,7,50
A_baseline,42,231,1.7823076248168945,0.06448734551668167,1.5068193281165991,1.0,8,50
A_baseline,42,232,1.7823076248168945,0.06448734551668167,1.508882595322829,1.0,9,50
