seed,gen,best_ppf,best_cycle,best_fit,stag,H_mean,H_sens
42,124,1.551799,311.54922,-1.551799,22,0.1614619346186499,0.15053691674396946
42,125,1.551799,311.54922,-1.551799,23,0.1699331515492333,0.16220973770721656
42,126,1.551799,311.54922,-1.551799,24,0.16070655736769368,0.1535864416340491
42,127,1.551799,311.54922,-1.551799,25,0.15575909846632438,0.14465899315302064
42,128,1.551799,311.54922,-1.551799,26,0.15179385913653645,0.14377751917472037
42,129,1.544299,310.4344,-1.544299,0,0.19528783870782376,0.1878854283200946
42,130,1.544299,310.4344,-1.544299,1,0.16083039862590273,0.14728344864441772
42,131,1.544299,310.4344,-1.544299,2,0.14547320710102316,0.14349611529973827
42,132,1.543027,309.9188,-1.543027,0,0.13850583778041894,0.13047210819839858
42,133,1.543027,309.9188,-1.543027,1,0.14856352462516892,0.1425143931621555
42,134,1.543027,309.9188,-1.543027,2,0.17406752360591465,0.16767480839318935
42,135,1.543027,309.9188,-1.543027,3,0.18459488680834438,0.18600268009860244
42,136,1.5343715,310.43164,-1.5343715,0,0.16121622265119265,0.15635936835599173
42,137,1.5343715,310.43164,-1.5343715,1,0.18746562116498347,0.18387484132736076
42,138,1.5343715,310.43164,-1.5343715,2,0.22305030973867476,0.20870503513901106
42,139,1.5343715,310.43164,-1.5343715,3,0.18584951349051296,0.1749294851372658
42,140,1.5343715,310.43164,-1.5343715,4,0.17749918213808621,0.16592505733867688
42,141,1.5279732,310.9898,-1.5279732,0,0.15778428821543689,0.14794906694370763
42,142,1.5279732,310.9898,-1.5279732,1,0.16804429899248924,0.14741502842170962
42,143,1.5279732,310.9898,-1.5279732,2,0.16769929088435281,0.14813854331317322
42,144,1.5279732,310.9898,-1.5279732,3,0.1826280811475587,0.15966611732678948
42,145,1.5279732,310.9898,-1.5279732,4,0.1942867766947238,0.1762741801927605
42,146,1.5279732,310.9898,-1.5279732,5,0.16120335249559514,0.13647684260403786
42,147,1.5279732,310.9898,-1.5279732,6,0.16765255393378573,0.15345341080431188
42,148,1.5279732,310.9898,-1.5279732,7,0.1669264538977985,0.1570937267363267
42,149,1.5279732,310.9898,-1.5279732,8,0.1410779448752685,0.1274130261251476
42,150,1.5279732,310.9898,-1.5279732,9,0.13047793786552128,0.12761520837216192
42,151,1.5279732,310.9898,-1.5279732,10,0.14415081827430318,0.13870952260227012
42,152,1.5273414,310.55167,-1.5273414,0,0.1336799545432177,0.13088112251151018
42,153,1.5273414,310.55167,-1.5273414,1,0.14804936568457033,0.14413842230935436
42,154,1.5273414,310.55167,-1.5273414,2,0.14816279963893922,0.13713216889118926
42,155,1.5273414,310.55167,-1.5273414,3,0.10836838593454136,0.10544216425306624
42,156,1.5273414,310.55167,-1.5273414,4,0.151762132903577,0.14528029409954776
42,157,1.5273414,310.55167,-1.5273414,5,0.14543477824920326,0.14122127990817604
42,158,1.5273414,310.55167,-1.5273414,6,0.13974414112311212,0.13172604809147817
42,159,1.5273414,310.55167,-1.5273414,7,0.13735151695937134,0.13433445973643107
42,160,1.5273414,310.55167,-1.5273414,8,0.17234338581408465,0.16754287223374958
42,161,1.5273414,310.55167,-1.5273414,9,0.14272360025622166,0.13730998003580697
42,162,1.5273414,310.55167,-1.5273414,10,0.12205608936634509,0.11752354558397221
42,163,1.5273414,310.55167,-1.5273414,11,0.12645405468329493,0.12220550956861101
42,164,1.5273414,310.55167,-1.5273414,12,0.12291977398214544,0.1234084931150093
42,165,1.5273414,310.55167,-1.5273414,13,0.1595154218495117,0.15558261750028315
42,166,1.5273414,310.55167,-1.5273414,14,0.15013023604207545,0.14114270981572885
42,167,1.5273414,310.55167,-1.5273414,15,0.12437163095104421,0.1223544995882698
42,168,1.5273414,310.55167,-1.5273414,16,0.14930842104068467,0.14241158974539408
42,169,1.5273414,310.55167,-1.5273414,17,0.14982526880562821,0.14088746330776747
42,170,1.5273414,310.55167,-1.5273414,18,0.13298881149502123,0.12829556785105908
42,171,1.5273414,310.55167,-1.5273414,19,0.15143997218300068,0.14299033440432757
42,172,1.5273414,310.55167,-1.5273414,20,0.14186709159734906,0.13529440189766936
42,173,1.5273414,310.55167,-1.5273414,21,0.19219244449894599,0.1874649267182283
42,174,1.5273414,310.55167,-1.5273414,22,0.1585191306533161,0.14878270127783227
42,175,1.5273414,310.55167,-1.5273414,23,0.11651769877832609,0.11640064263589352
42,176,1.5273414,310.55167,-1.5273414,24,0.13290393104914364,0.13475187224412044
42,177,1.5273414,310.55167,-1.5273414,25,0.12421103330807735,0.11657146540408736
42,178,1.5273414,310.55167,-1.5273414,26,0.1457438793732018,0.139631809869909
42,179,1.5273414,310.55167,-1.5273414,27,0.13206073928961343,0.12847165592835694
42,180,1.5273414,310.55167,-1.5273414,28,0.12853232093208655,0.12232255114825269
42,181,1.5273414,310.55167,-1.5273414,29,0.12339500800388901,0.11972324105522929
42,182,1.5273414,310.55167,-1.5273414,30,0.12530474368783123,0.1145836592004625
42,183,1.5273414,310.55167,-1.5273414,31,0.12910682500834533,0.11763121502952645
42,184,1.5273414,310.55167,-1.5273414,32,0.12267682449082534,0.12039574560324925
42,185,1.5273414,310.55167,-1.5273414,33,0.12001508674466652,0.11129796329413547
42,186,1.5273414,310.55167,-1.5273414,34,0.1433589515895621,0.13416651926788897
42,187,1.5273414,310.55167,-1.5273414,35,0.13848466847637747,0.12731783225828905
42,188,1.5273414,310.55167,-1.5273414,36,0.13070560567567813,0.1226543089672428
