dataset_idx,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
9053,1.9765853881835938,0.09958149255696094,0.05038054268014339,310.8243713378906,11746.62109375,9,8,4,1,4,1,1,3,1,4,2,1,4,5,3,1,1,6,1,5,6,1,1,5,1,4,3,1,7,5,3
2084,2.1135265827178955,0.1059147513372403,0.05011278514877389,328.9206237792969,9980.458984375,5,1,7,1,1,1,1,1,3,8,4,9,3,1,4,4,3,6,1,1,6,1,3,4,5,2,1,5,5,1,4
8519,1.9214445352554321,0.09595418069968259,0.0499385391115776,309.1779479980469,9726.154296875,6,8,3,4,7,6,1,3,1,9,1,4,3,1,5,4,1,1,3,5,1,4,1,1,5,1,4,1,2,1,5
3253,1.9948327541351318,0.09953871853021959,0.049898253744430805,329.0320739746094,9325.15625,3,1,1,5,4,1,6,3,1,4,4,3,4,3,5,1,1,8,1,6,1,1,7,9,1,1,5,4,2,1,5
9403,1.7665975093841553,0.08800131129294635,0.04981398610558716,317.5805358886719,10289.2314453125,4,1,1,3,1,8,3,4,3,1,1,9,1,1,2,7,6,4,1,5,5,3,4,4,5,1,6,1,1,5,1
2744,1.977420449256897,0.0983958771244367,0.04975969056397409,304.9234313964844,10307.896484375,1,3,1,1,1,5,2,1,1,1,1,4,4,1,5,4,3,5,1,3,1,5,4,1,4,3,6,9,8,6,7
2569,2.095906972885132,0.10417658846623247,0.049704754271932286,300.70648193359375,9206.4580078125,5,3,1,1,1,6,9,6,4,4,3,1,3,1,7,5,1,4,3,5,8,1,1,4,1,1,4,1,5,1,2
4025,1.8405218124389648,0.09135026342228746,0.04963278102514109,308.51806640625,10564.263671875,1,4,3,3,9,1,4,6,4,1,1,1,7,5,1,3,1,1,1,5,4,6,1,4,2,3,1,8,5,1,5
8195,2.175210952758789,0.10755675323682615,0.04944656330665127,300.03973388671875,10178.2412109375,1,9,3,4,3,5,6,3,4,4,1,3,2,1,1,1,4,1,7,1,5,6,1,1,1,5,8,1,1,5,4
3805,1.827172040939331,0.08982129033858206,0.04915861311620064,308.2635192871094,9831.9228515625,1,3,7,4,1,3,5,1,1,1,1,1,1,1,8,3,9,4,1,6,5,4,3,1,6,1,2,4,5,5,4
6532,2.1722936630249023,0.10671363377581393,0.04912484381974131,293.7774963378906,11422.6103515625,5,7,4,1,1,5,5,3,3,4,6,4,1,1,3,1,1,6,1,4,3,1,5,1,4,8,1,1,2,1,9
1398,2.022242784500122,0.09901996877199597,0.04896539764360221,334.5490417480469,10735.7421875,5,1,1,4,4,1,4,1,3,1,5,4,3,2,8,4,9,3,1,6,6,1,7,1,5,1,1,5,3,1,1
6174,1.8378510475158691,0.0899367678125151,0.04893580536097162,301.7436828613281,10164.7578125,4,4,1,4,5,3,5,3,8,1,1,4,1,1,2,1,1,6,4,1,7,1,3,1,9,5,3,5,1,6,1
