pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,cycle,priority,entropy_mode
"[9, 1, 3, 2, 7, 4, 1, 6, 1, 8, 7, 1, 8, 7, 1, 1, 9, 9, 5, 5, 2, 1, 1, 1, 5, 9, 1, 7, 7, 1, 1]",1.9322500228881836,0.08574722707271576,-1.0374128818511963,1.6431440114974976,-165.15699768066406,322.77685546875,274.48237875465804,combined
"[3, 1, 1, 9, 8, 2, 1, 6, 1, 9, 7, 1, 8, 7, 4, 1, 4, 9, 4, 5, 5, 1, 1, 1, 5, 1, 1, 7, 2, 1, 1]",1.9171502590179443,0.08754390478134155,-1.0166763067245483,1.5981112718582153,-162.71279907226562,329.015625,274.26295992905494,combined
"[4, 1, 9, 4, 9, 1, 1, 5, 1, 4, 8, 1, 4, 6, 2, 1, 7, 1, 2, 2, 5, 1, 1, 1, 6, 6, 1, 1, 1, 1, 1]",1.944983720779419,0.08832447975873947,-1.007799744606018,1.692628026008606,-154.13394165039062,315.0985107421875,274.2153007875927,combined
"[8, 1, 3, 1, 7, 2, 1, 2, 1, 9, 3, 1, 9, 6, 9, 1, 9, 9, 7, 5, 6, 1, 1, 1, 6, 1, 1, 7, 1, 1, 1]",1.9637881517410278,0.09194021672010422,-0.967678427696228,1.6420137882232666,-165.57778930664062,327.9110412597656,274.1813959924497,combined
"[1, 1, 1, 8, 8, 9, 1, 2, 1, 4, 7, 1, 8, 1, 1, 1, 8, 7, 7, 5, 5, 1, 1, 1, 9, 5, 1, 7, 2, 1, 1]",1.9765326976776123,0.093399278819561,-0.9519331455230713,1.6590853929519653,-164.55628967285156,325.535888671875,273.2520262172824,combined
"[1, 1, 1, 2, 3, 9, 1, 2, 1, 4, 9, 1, 7, 1, 9, 1, 3, 8, 6, 7, 6, 1, 1, 1, 7, 5, 1, 7, 9, 1, 1]",1.93638277053833,0.0994810163974762,-0.8888499140739441,1.6297837495803833,-165.66416931152344,324.1525573730469,272.8274107795499,combined
"[3, 1, 4, 9, 8, 4, 1, 6, 1, 4, 7, 1, 8, 8, 8, 1, 8, 9, 4, 5, 3, 1, 1, 1, 5, 1, 1, 2, 2, 1, 1]",1.9324212074279785,0.08484679460525513,-1.0479693412780762,1.5981112718582153,-165.37774658203125,329.69512939453125,272.65754892324196,combined
"[3, 1, 3, 9, 8, 4, 1, 6, 1, 4, 4, 1, 8, 7, 3, 1, 4, 7, 6, 8, 9, 1, 1, 1, 5, 1, 1, 6, 7, 1, 1]",1.8636202812194824,0.07666825503110886,-1.1493291854858398,1.5586133003234863,-164.03927612304688,325.2665710449219,272.03209626877145,combined
"[1, 1, 1, 3, 3, 1, 1, 7, 1, 9, 2, 1, 8, 2, 8, 1, 4, 7, 6, 8, 2, 1, 1, 1, 4, 2, 1, 6, 2, 1, 1]",1.8332362174987793,0.07730159163475037,-1.1411021947860718,1.507056713104248,-161.3559112548828,330.46722412109375,271.6685237560927,combined
"[7, 1, 4, 8, 8, 3, 1, 8, 1, 8, 7, 1, 3, 4, 8, 1, 9, 8, 8, 6, 4, 1, 1, 1, 2, 3, 1, 6, 7, 1, 1]",1.9054508209228516,0.08307904005050659,-1.0690244436264038,1.5799612998962402,-164.86903381347656,327.5998840332031,271.6390584844463,combined
