seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
42,117,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6369193671008715,1.0,7,64
42,118,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6382444058784755,1.0,8,64
42,119,1.9685698747634888,339.8799133300781,0.04102092981338501,1.628932715938189,1.0,9,64
42,120,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6240685243316841,1.0,10,64
42,121,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6492141553763457,1.0,11,64
42,122,1.9685698747634888,339.8799133300781,0.04102092981338501,1.637150339798226,1.0,12,64
42,123,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6127333334867908,1.0,13,64
42,124,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6173066556998739,1.0,14,64
42,125,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6303128819203294,1.0,0,64
42,126,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5938887903705814,1.0,1,64
42,127,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5672703951723204,1.0,2,64
42,128,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5656576504777981,1.0,3,64
42,129,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5524656691385834,1.0,4,64
42,130,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5214067906858602,1.0,5,64
42,131,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5464292358572955,1.0,6,64
42,132,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5112012687448775,1.0,7,64
42,133,1.9685698747634888,339.8799133300781,0.04102092981338501,1.493657138988427,1.0,8,64
42,134,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4841442210228855,1.0,9,64
42,135,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5119806944125282,1.0,10,64
42,136,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5327411566021574,1.0,11,64
42,137,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5364836796229435,1.0,12,64
42,138,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5364267023786293,1.0,13,64
42,139,1.9685698747634888,339.8799133300781,0.04102092981338501,1.531732335663651,1.0,14,64
42,140,1.9685698747634888,339.8799133300781,0.04102092981338501,1.555385696655485,1.0,0,64
42,141,1.9685698747634888,339.8799133300781,0.04102092981338501,1.5061791158597986,1.0,1,64
42,142,1.9685698747634888,339.8799133300781,0.04102092981338501,1.482149628508011,1.0,2,64
42,143,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4756843446096874,1.0,3,64
42,144,1.9685698747634888,339.8799133300781,0.04102092981338501,1.471029618780296,1.0,4,64
42,145,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4610387976559172,1.0,5,64
42,146,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4375888010156535,1.0,6,64
42,147,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4262885188118029,1.0,7,64
42,148,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4307042765609363,1.0,8,64
42,149,1.9685698747634888,339.8799133300781,0.04102092981338501,1.432176704909474,1.0,9,64
42,150,1.9685698747634888,339.8799133300781,0.04102092981338501,1.4158212654109261,1.0,10,64
137,1,2.290587902069092,336.534912109375,0.07614672929048538,1.7220647073175794,1.0,0,64
137,2,2.290587902069092,336.534912109375,0.07614672929048538,1.726438742092614,1.0,1,64
137,3,2.290587902069092,336.534912109375,0.07614672929048538,1.7296563794981643,1.0,2,64
137,4,2.290587902069092,336.534912109375,0.07614672929048538,1.7223753455411097,1.0,3,64
137,5,2.290587902069092,336.534912109375,0.07614672929048538,1.6899113749268824,1.0,4,64
137,6,2.290587902069092,336.534912109375,0.07614672929048538,1.6822827787619687,1.0,5,64
137,7,2.290587902069092,336.534912109375,0.07614672929048538,1.681161519691418,1.0,6,64
137,8,2.290587902069092,336.534912109375,0.07614672929048538,1.6872444883843754,1.0,7,64
137,9,2.290587902069092,336.534912109375,0.07614672929048538,1.692899674607939,1.0,8,64
137,10,1.836958646774292,336.72088623046875,0.07097607105970383,1.7289579617115318,1.0,0,64
137,11,1.836958646774292,336.72088623046875,0.07097607105970383,1.7418593428384679,1.0,1,64
137,12,1.836958646774292,336.72088623046875,0.07097607105970383,1.7274403871705604,1.0,2,64
137,13,1.836958646774292,336.72088623046875,0.07097607105970383,1.7320114437407956,1.0,3,64
137,14,1.836958646774292,336.72088623046875,0.07097607105970383,1.7264983928637905,1.0,4,64
137,15,1.836958646774292,336.72088623046875,0.07097607105970383,1.7219457498067465,1.0,5,64
137,16,1.836958646774292,336.72088623046875,0.07097607105970383,1.6995539817289653,1.0,6,64
137,17,1.836958646774292,336.72088623046875,0.07097607105970383,1.705832252750166,1.0,7,64
137,18,1.836958646774292,336.72088623046875,0.07097607105970383,1.7112458799577663,1.0,8,64
137,19,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7293668775891446,1.0,0,64
137,20,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6948088624707056,1.0,1,64
137,21,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7282785940345466,1.0,2,64
137,22,1.9831373691558838,341.4464111328125,0.07102782279253006,1.733622966141068,1.0,3,64
137,23,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7192364954395507,1.0,4,64
