arm,gen,entropy_mode,injection_on,escalation_on,best_ppf,cycle,fitness,H_gauss,H_hist,H_traj,sigma,diversity,rev_rate,n_empires,temperature,stagnation_counter,escalation_round,cap_hits_in_a_row,injected_this_gen,hard_reset_fired,al_candidates_total
A_hist_only,46,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.5328571428571429,0.1901428571428571,5,0.05786716951795567,1,3,0,0,False,285
A_hist_only,47,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.4898580121703854,0.20304259634888436,5,0.05357774892831705,2,3,0,0,False,290
A_hist_only,48,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.40855397148676176,0.22743380855397144,5,0.049606282874006244,3,3,0,0,False,297
A_hist_only,49,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3694897959183674,0.23915306122448976,5,0.045929202883612456,4,3,0,0,False,303
A_hist_only,50,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.36967213114754094,0.2390983606557377,4,0.042524687505449285,5,3,0,0,False,306
A_hist_only,51,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3516194331983806,0.2445141700404858,4,0.03937253280921478,6,3,0,0,False,313
A_hist_only,52,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3143145161290323,0.2557056451612903,4,0.03645403248675365,7,3,0,0,False,320
A_hist_only,53,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.366905737704918,0.23992827868852457,4,0.03375186684038456,8,3,0,0,False,326
A_hist_only,54,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.38981854838709684,0.23305443548387095,4,0.03125,9,3,0,0,False,333
A_hist_only,55,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3620689655172414,0.24137931034482757,4,0.028933584758977834,10,3,0,0,False,338
A_hist_only,56,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3407707910750507,0.24776876267748477,4,0.026788874464158525,11,3,0,0,False,345
A_hist_only,57,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3497979797979799,0.24506060606060603,4,0.024803141437003122,12,3,0,0,False,350
A_hist_only,58,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.360183299389002,0.2419450101832994,4,0.022964601441806228,13,3,0,0,False,353
A_hist_only,59,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,-1.0483416844697695,1.8989267893363289,-185.03606446825944,0.08481522453613635,0.3126016260162602,0.25621951219512196,4,0.021262343752724643,14,3,0,0,False,357
A_traj_only,0,traj,True,True,1.9474616504443614,335.2253576272306,335.2253576272306,-1.0832542344138072,1.9913464134109882,-184.87402886433938,0.08190520249456028,0.8847082494969819,0.0845875251509054,6,2.0,0,0,0,0,False,10
A_traj_only,1,traj,True,True,1.9474616504443614,335.2253576272306,335.2253576272306,-1.0832542344138072,1.9913464134109882,-184.87402886433938,0.08190520249456028,0.8794297352342157,0.08617107942973529,6,1.851749424574581,1,0,0,0,False,20
A_traj_only,2,traj,True,True,1.9474616504443614,335.2253576272306,335.2253576272306,-1.0832542344138072,1.9913464134109882,-184.87402886433938,0.08190520249456028,0.8614141414141414,0.09157575757575759,6,1.7144879657061456,2,0,0,0,False,30
A_traj_only,3,traj,True,True,1.9474616504443614,335.2253576272306,335.2253576272306,-1.0832542344138072,1.9913464134109882,-184.87402886433938,0.08190520249456028,0.8336363636363636,0.09990909090909089,6,1.5874010519681996,3,0,0,0,False,41
