pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_combined,cycle,priority,entropy_mode
"[7, 1, 8, 4, 9, 1, 1, 1, 1, 9, 7, 1, 8, 6, 2, 1, 1, 7, 8, 9, 1, 1, 1, 1, 1, 5, 1, 3, 5, 1, 1]",1.9767327308654785,0.09226672351360321,-0.9641332626342773,1.5382674932479858,-165.24957275390625,2.817821979522705,322.34942626953125,459.50715781590134,combined
"[7, 1, 8, 4, 8, 4, 1, 1, 1, 4, 2, 1, 1, 2, 2, 1, 8, 7, 3, 4, 8, 1, 1, 1, 5, 2, 1, 8, 2, 1, 1]",1.9725353717803955,0.08372077345848083,-1.0613298416137695,1.51437246799469,-163.9195556640625,2.88899564743042,313.5520324707031,459.23130747303264,combined
"[7, 1, 9, 4, 3, 4, 1, 5, 1, 8, 8, 1, 3, 2, 2, 1, 4, 3, 7, 5, 6, 1, 1, 1, 2, 4, 1, 7, 2, 1, 1]",1.8576184511184692,0.089876189827919,-0.9903837442398071,1.4659950733184814,-161.4373016357422,2.6709651947021484,319.3030700683594,459.107696251044,combined
"[7, 1, 8, 4, 9, 7, 1, 1, 1, 8, 7, 1, 3, 2, 2, 1, 9, 7, 6, 9, 7, 1, 1, 1, 4, 8, 1, 6, 2, 1, 1]",1.9920992851257324,0.08094426244497299,-1.0950559377670288,1.4771819114685059,-164.61941528320312,2.8210816383361816,323.9728088378906,458.78902239858195,combined
"[4, 1, 8, 9, 8, 9, 1, 7, 1, 9, 4, 1, 9, 2, 2, 1, 1, 4, 6, 7, 4, 1, 1, 1, 1, 1, 1, 8, 2, 1, 1]",1.9171630144119263,0.07547131180763245,-1.1650642156600952,1.394588589668274,-159.14144897460938,2.7241411209106445,319.84619140625,454.47658928841736,combined
"[7, 1, 8, 4, 8, 6, 1, 1, 1, 8, 7, 1, 4, 2, 2, 1, 4, 7, 6, 9, 1, 1, 1, 1, 5, 5, 1, 2, 2, 1, 1]",1.9927124977111816,0.08675134181976318,-1.0257707834243774,1.5024174451828003,-165.59251403808594,2.7935433387756348,323.8882751464844,454.05219294305704,combined
"[9, 1, 8, 4, 2, 4, 1, 1, 1, 4, 7, 1, 4, 2, 2, 1, 4, 7, 7, 9, 1, 1, 1, 1, 2, 5, 1, 8, 2, 1, 1]",1.9045671224594116,0.09098616987466812,-0.9781091809272766,1.4805959463119507,-164.14390563964844,2.6713922023773193,320.5952453613281,449.67445820292363,combined
"[3, 1, 1, 4, 3, 3, 1, 6, 1, 3, 7, 1, 8, 8, 2, 1, 3, 7, 4, 5, 6, 1, 1, 1, 7, 4, 1, 8, 2, 1, 1]",1.9079186916351318,0.07413984835147858,-1.1828638315200806,1.3845038414001465,-160.99951171875,2.6275196075439453,325.0271911621094,447.61596701770264,combined
"[3, 1, 8, 4, 9, 3, 1, 4, 1, 9, 7, 1, 9, 6, 2, 1, 7, 3, 6, 3, 7, 1, 1, 1, 2, 2, 1, 9, 2, 1, 1]",1.9414494037628174,0.07663753628730774,-1.14972984790802,1.3408597707748413,-159.34825134277344,2.608368396759033,331.93646240234375,445.9617287076682,combined
"[2, 1, 9, 8, 9, 8, 1, 1, 1, 4, 7, 1, 4, 6, 2, 1, 8, 7, 6, 6, 1, 1, 1, 1, 2, 7, 1, 8, 6, 1, 1]",2.003720760345459,0.08071008324623108,-1.0979533195495605,1.4199838638305664,-162.67909240722656,2.6975913047790527,330.1451721191406,444.4712650472144,combined
