seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
42,1,3.9632372856140137,0.1057460159063339,1.7290576565932338,38.92380905151367,2.419534921646118,8,6,2,1,4,5,6,1,5,8,5,9,1,4,1,1,1,1,4,1,3,1,5,3,3,4,7,8,7,3,3
509,1,4.196431636810303,0.1369742304086685,1.7331331101210403,37.200496673583984,2.417325258255005,6,1,6,4,3,1,4,5,2,5,1,9,8,4,2,1,2,1,3,8,4,5,1,5,1,3,1,3,1,1,7
88,1,3.6950020790100098,0.1534847617149353,1.7247864634711405,33.24845504760742,2.4141387939453125,2,5,3,4,4,1,6,1,1,3,9,4,4,4,1,3,6,5,1,1,1,3,4,1,1,4,5,3,5,1,1
1023,2,6.310660362243652,0.222138911485672,1.733478032423755,32.7659797668457,2.399701833724976,1,5,5,1,4,6,1,6,6,3,3,1,1,4,1,3,1,1,9,5,3,4,3,4,8,1,1,1,4,3,5
1618,1,3.609889030456543,0.1559365540742874,1.755330173318954,32.57428359985352,2.3935656547546387,2,1,1,1,1,1,6,5,5,1,4,8,4,6,1,1,1,1,5,1,2,4,9,5,7,1,1,5,3,4,4
88,2,3.933790922164917,0.1493243724107742,1.7248557305898056,35.02932357788086,2.3787829875946045,1,6,3,4,2,7,1,5,5,3,5,1,4,2,1,7,4,1,1,6,3,4,1,1,4,1,1,1,1,9,2
1618,2,3.7154440879821777,0.119012214243412,1.7264585244319757,38.22819137573242,2.356901168823242,1,6,8,3,1,4,1,7,6,3,3,5,3,5,6,3,4,1,4,9,4,1,3,4,1,2,1,2,1,5,5
137,2,2.6723546981811523,0.1482428610324859,1.718798034992829,33.28049850463867,2.340829849243164,1,4,1,1,8,1,1,5,5,7,4,1,1,1,6,5,4,1,1,1,5,1,8,3,4,1,5,9,3,3,3
88,2,5.348494052886963,0.1444216966629028,1.7248557305898056,35.59703826904297,2.3298258781433105,1,2,6,4,1,1,7,5,5,1,5,1,3,4,2,9,1,3,4,5,3,4,4,1,4,7,5,1,1,3,1
1618,2,4.527100086212158,0.1342612504959106,1.7264585244319757,33.69429397583008,2.319374084472656,1,6,6,2,1,5,3,1,5,4,3,1,1,4,7,1,1,5,4,1,2,6,1,1,4,5,1,4,5,4,3
42,2,2.9848504066467285,0.1112149655818939,1.7120449019615265,35.52647399902344,2.31126070022583,3,1,5,1,6,5,3,1,1,2,1,5,1,7,3,1,1,5,2,1,5,1,3,9,5,5,8,6,3,6,1
509,3,3.8459103107452393,0.1076546460390091,1.689006754425455,36.88954544067383,2.309123516082764,5,1,3,6,2,1,6,8,5,3,5,1,5,1,1,1,9,1,3,4,2,4,1,3,6,1,7,2,5,5,1
1023,1,2.753201484680176,0.1300008296966552,1.727950983351282,40.99578094482422,2.293735980987549,6,6,5,1,9,4,2,1,7,9,8,1,5,6,9,4,8,5,4,1,3,3,3,4,4,5,1,3,1,1,4
1023,3,5.114296436309815,0.179079994559288,1.7068526471749117,32.122257232666016,2.2779574394226074,1,5,1,3,3,1,4,1,5,3,1,1,8,1,3,1,1,3,9,1,2,6,5,1,1,1,1,6,3,7,1
271,2,3.4470407962799072,0.1498385667800903,1.7224204213974024,35.95851516723633,2.2378993034362797,2,1,3,4,4,5,5,1,6,7,4,7,3,4,5,2,4,1,9,1,2,4,1,1,4,1,3,1,4,1,1
88,2,3.417128086090088,0.1284436881542205,1.7248557305898056,37.73374176025391,2.218061923980713,6,5,2,8,3,7,1,4,1,7,1,1,4,4,1,6,2,5,1,5,4,4,5,1,5,1,3,5,9,1,3
42,2,3.6391916275024414,0.0998108386993408,1.7120449019615265,37.81311798095703,2.1957268714904785,5,1,6,5,5,6,1,1,7,8,3,3,1,5,4,5,7,1,3,6,1,8,5,4,4,6,1,1,1,5,2
88,1,4.043486595153809,0.1438740193843841,1.7247864634711405,33.68836975097656,2.194521427154541,7,6,3,4,4,1,1,5,5,1,5,1,1,2,1,7,4,4,1,4,4,4,1,1,4,1,1,5,1,9,2
509,2,3.17553186416626,0.1212304458022117,1.7180390384032482,35.99126052856445,2.190335750579834,9,5,6,8,6,1,1,1,4,5,4,4,5,5,8,1,4,6,1,5,1,1,3,6,1,2,1,1,4,6,5
7,1,5.032837390899658,0.158592939376831,1.7442575164428895,31.69956398010254,2.152599573135376,1,5,3,1,3,4,3,4,1,5,1,4,9,1,1,1,4,1,4,4,1,1,4,5,3,4,1,8,7,9,1
1618,1,4.533529281616211,0.1320440173149109,1.755330173318954,35.34681701660156,2.1363468170166016,5,1,5,6,4,1,1,1,1,6,3,4,1,5,4,9,3,6,4,6,1,1,3,3,7,1,2,7,1,1,4
42,2,3.467597246170044,0.0958341807126998,1.7120449019615265,38.35693740844727,2.1127634048461914,8,6,2,1,4,5,6,1,5,8,5,9,1,4,3,1,1,5,4,1,3,1,5,3,3,4,7,1,7,3,3
1023,1,3.734775304794312,0.1327110677957534,1.727950983351282,39.3453483581543,2.1015429496765137,4,5,4,3,1,1,4,1,6,6,4,4,4,2,5,5,9,5,6,1,3,2,1,9,3,3,4,6,4,8,1
88,2,5.10347843170166,0.1621121764183044,1.7248557305898056,31.03542137145996,2.0872836112976074,1,5,1,5,4,1,5,5,1,1,7,1,3,4,6,5,4,3,3,6,1,1,1,6,1,9,1,1,1,3,4
1023,1,4.763801097869873,0.1774684637784958,1.727950983351282,32.76837158203125,2.0788321495056152,5,5,4,5,3,1,4,1,5,4,1,1,6,3,3,1,1,3,5,1,4,6,5,1,1,1,1,6,2,7,1
7,1,5.634719371795654,0.1400126665830612,1.7442575164428895,34.12959671020508,2.0736618041992188,4,5,1,9,1,4,3,1,5,2,1,1,4,5,1,4,8,9,1,4,1,4,1,1,1,7,1,6,4,1,5
1023,2,5.292685508728027,0.1804074496030807,1.733478032423755,35.145355224609375,2.057748556137085,1,5,5,4,3,1,1,1,1,5,3,1,9,6,4,5,3,3,3,6,3,1,5,1,7,4,1,2,3,7,4
314,2,3.222143173217773,0.120836317539215,1.7437080727008525,39.40355682373047,2.0543084144592285,1,5,3,1,8,1,1,7,1,7,4,5,4,8,5,4,9,7,5,3,1,2,1,7,2,1,9,5,1,1,4
314,1,2.890877723693848,0.1210492700338363,1.736347910378991,36.05717086791992,2.0301225185394287,5,7,6,8,6,1,5,1,6,3,1,1,5,1,4,3,1,3,2,4,3,1,1,8,1,5,5,1,3,3,3
